x0,Iter.,Opt. Point,Opt. Value,Error
"[0.1, 0.1]",37,"[0.4996028083543157, 0.4996028083543157]",1.327761764080447,1.764080447053118e-06
"[0.15, 0.15]",36,"[0.4993958915042868, 0.4993958915042868]",1.3277622034306933,2.2034306932372516e-06
"[0.2, 0.2]",37,"[0.4991298071712693, 0.4991298071712693]",1.3277630353027623,3.035302762244285e-06
"[0.25, 0.25]",36,"[0.49972323518673895, 0.49972323518673895]",1.327761591970598,1.5919705980138588e-06
"[0.3, 0.3]",37,"[0.4994597212339315, 0.4994597212339315]",1.3277620485323358,2.048532335763298e-06
"[0.35, 0.35]",38,"[0.4993870163825921, 0.4993870163825921]",1.3277622263366582,2.2263366581398714e-06
"[0.45, 0.45]",36,"[0.4997476681772782, 0.4997476681772782]",1.327761564557242,1.5645572419842324e-06
