x0,Iter.,Opt. Point,Opt. Value,Error
"[0.3, 0.3]",14,"[0.5, 0.5]",1.2246444152109746,4.415210974606509e-06
"[0.4, 0.4]",13,"[0.5, 0.5]",1.2246444152109746,4.415210974606509e-06
"[0.55, 0.55]",12,"[0.5000000069513881, 0.5000000069513881]",1.2246444152109746,4.415210974606509e-06
"[0.6, 0.6]",13,"[0.5, 0.5]",1.2246444152109746,4.415210974606509e-06
"[0.7, 0.7]",14,"[0.5, 0.5]",1.2246444152109746,4.415210974606509e-06
"[0.8, 0.8]",14,"[0.5000000046249623, 0.5000000046249623]",1.2246444152109746,4.415210974606509e-06
"[0.9, 0.9]",14,"[0.5000000061997074, 0.5000000061997074]",1.2246444152109746,4.415210974606509e-06
