x0,Iter.,Opt. Point,Opt. Value,Error
"[0.3, 0.3]",13,"[0.4999999980396049, 0.4999999980396049]",1.2246444152109746,4.415210974606509e-06
"[0.4, 0.4]",13,"[0.4999999990938131, 0.4999999990938131]",1.2246444152109746,4.415210974606509e-06
"[0.55, 0.55]",12,"[0.5000000016807961, 0.5000000016807961]",1.2246444152109746,4.415210974606509e-06
"[0.6, 0.6]",13,"[0.5000000009061869, 0.5000000009061869]",1.2246444152109746,4.415210974606509e-06
"[0.7, 0.7]",13,"[0.5000000019603952, 0.5000000019603952]",1.2246444152109746,4.415210974606509e-06
"[0.8, 0.8]",13,"[0.5000000031569957, 0.5000000031569957]",1.2246444152109746,4.415210974606509e-06
"[0.9, 0.9]",14,"[0.500000000964781, 0.500000000964781]",1.2246444152109746,4.415210974606509e-06
