x0,Iter.,Opt. Point,Opt. Value,Error
"[0.1, 0.1]",42,"[0.49685588161371336, 0.49685588161371336]",1.3277823924855046,2.2392485504507675e-05
"[0.15, 0.15]",41,"[0.4972117361868113, 0.4972117361868113]",1.3277779157709182,1.7915770918142115e-05
"[0.2, 0.2]",40,"[0.49779378975547045, 0.49779378975547045]",1.327771751121233,1.1751121232972395e-05
"[0.25, 0.25]",40,"[0.49793176044327014, 0.49793176044327014]",1.3277705005129306,1.050051293050025e-05
"[0.3, 0.3]",40,"[0.49824953993690846, 0.49824953993690846]",1.3277679271864575,7.927186457479252e-06
"[0.35, 0.35]",40,"[0.4986290101762146, 0.4986290101762146]",1.327765415377351,5.415377350992401e-06
"[0.45, 0.45]",38,"[0.4995146658767864, 0.4995146658767864]",1.3277619290346305,1.929034630476778e-06
