x0,Iter.,Opt. Point,Opt. Value,Error
"[0.3, 0.3]",42,"[0.47154363145471195, 0.47154363145471195]",1.225389786205273,0.0007497862052729953
"[0.4, 0.4]",41,"[0.48641500538504673, 0.48641500538504673]",1.2248143500295616,0.00017435002956167622
"[0.55, 0.55]",40,"[0.5066940987260942, 0.5066940987260942]",1.224685680150842,4.5680150841942435e-05
"[0.6, 0.6]",41,"[0.5135849946149532, 0.5135849946149532]",1.2248143500295616,0.00017435002956167622
"[0.7, 0.7]",42,"[0.5284563685452881, 0.5284563685452881]",1.225389786205273,0.0007497862052729953
"[0.8, 0.8]",42,"[0.5443039003596407, 0.5443039003596407]",1.2264500174480137,0.0018100174480137898
"[0.9, 0.9]",43,"[0.5539661911422774, 0.5539661911422774]",1.227322078650922,0.0026820786509220707
